frame;x;y
1;788.0;528.0
2;786.3;527.9
3;784.5;523.7
4;787.4;518.1
5;790.6;516.0
6;788.3;511.9
7;784.7;512.6
8;781.6;513.7
9;781.0;514.7
10;780.1;511.4
11;778.7;509.0
12;776.9;508.9
13;773.6;508.7
14;776.3;507.5
15;773.0;509.2
16;770.2;505.7
17;769.6;505.3
18;770.9;502.6
19;777.0;497.8
20;777.0;495.0
21;777.0;496.6
22;773.0;494.6
23;771.8;494.5
24;770.6;500.5
25;770.3;501.8
26;770.5;499.9
27;768.0;495.3
28;765.5;499.4
29;764.3;503.9
30;764.7;505.9
31;768.2;507.1
32;767.9;513.1
33;762.2;516.1
34;760.1;519.7
35;763.6;519.4
36;761.5;516.7
37;761.5;517.0
38;758.3;517.9
39;755.8;513.7
40;753.2;514.5
41;752.5;513.7
42;751.3;506.8
43;746.7;506.0
44;748.3;502.2
45;749.7;497.2
46;750.3;498.6
47;752.7;498.6
48;753.4;494.7
49;753.3;493.5
50;755.4;494.8
51;757.0;497.5
52;758.6;497.4
53;759.6;495.1
54;761.5;492.9
55;762.1;490.5
56;759.7;490.8
57;759.9;484.0
58;762.5;482.2
59;760.4;480.9
60;758.9;483.1
61;758.9;482.7
62;756.4;479.3
63;759.9;478.0
64;764.3;474.4
65;766.0;472.1
66;764.9;474.9
67;766.0;475.7
68;770.2;473.2
69;769.6;478.3
70;771.4;480.5
71;772.1;480.3
72;771.9;480.3
73;770.6;478.5
74;770.4;476.9
75;769.4;475.3
76;771.3;475.0
77;769.3;473.2
78;766.4;470.8
79;767.1;469.6
80;763.6;472.9
81;763.2;475.0
82;764.0;473.4
83;763.3;470.6
84;764.8;471.0
85;764.4;470.6
86;761.4;470.0
87;760.8;469.6
88;756.0;468.2
89;754.6;464.1
90;755.7;462.1
91;754.5;460.5
92;753.3;454.2
93;752.5;454.1
94;753.2;454.9
95;750.5;450.6
96;751.4;448.3
97;751.4;445.5
98;752.7;443.8
99;752.9;444.5
100;751.4;441.1
101;750.2;439.3
102;751.1;436.9
103;752.0;436.6
104;750.2;440.0
105;748.3;434.8
106;750.7;432.8
107;751.7;435.4
108;748.7;437.9
109;745.5;438.6
110;747.2;435.7
111;751.3;437.0
112;755.1;437.4
113;759.3;437.7
114;763.0;434.0
115;767.3;434.3
116;765.7;433.7
117;762.7;431.7
118;760.9;430.2
119;759.3;430.6
120;757.7;429.5
121;756.3;430.0
122;755.1;429.2
123;750.0;430.1
124;749.4;424.2
125;746.9;422.5
126;745.8;427.0
127;745.9;430.8
128;742.7;432.1
129;743.0;431.2
130;747.0;432.5
131;746.7;435.4
132;744.1;434.7
133;744.7;435.0
134;743.8;440.1
135;744.2;439.5
136;744.8;436.1
137;746.2;430.0
138;743.2;431.0
139;739.4;428.7
140;740.2;426.8
141;739.2;424.7
142;734.9;422.1
143;733.9;423.5
144;730.0;427.7
145;725.4;428.4
146;723.4;429.1
147;720.9;430.6
148;718.4;430.9
149;714.9;430.8
150;714.4;431.8
151;714.8;430.2
152;715.6;429.6
153;715.3;425.8
154;712.0;421.1
155;707.5;418.6
156;703.1;420.5
157;696.7;420.9
158;695.5;420.1
159;694.2;419.4
160;694.8;421.0
161;696.5;423.6
162;696.5;420.5
163;694.6;420.7
164;693.3;422.9
165;694.8;425.3
166;689.9;422.6
167;690.0;418.6
168;687.4;417.4
169;691.0;416.4
170;691.4;419.3
171;697.0;420.8
172;698.3;420.2
173;700.8;418.9
174;703.7;418.1
175;705.9;419.4
176;704.5;423.1
177;699.4;420.6
178;699.4;420.5
179;697.8;421.9
180;700.9;424.6
181;701.4;430.4
182;700.1;431.5
183;702.4;432.5
184;704.0;433.0
185;710.6;433.9
186;712.7;435.2
187;715.2;434.6
188;716.1;431.3
189;716.6;430.0
190;715.9;430.1
191;717.1;428.4
192;717.9;429.9
193;720.1;430.7
194;724.2;430.1
195;725.8;431.2
196;723.9;429.5
197;720.5;429.7
198;720.5;428.8
199;718.6;431.0
200;720.9;434.9
201;724.5;436.1
202;723.4;433.8
203;722.7;434.7
204;723.7;431.1
205;724.8;429.7
206;727.4;428.9
207;728.2;429.2
208;727.7;430.6
209;724.8;433.0
210;725.8;432.7
211;723.1;433.6
212;720.3;438.3
213;715.0;435.0
