frame;x;y
936;342.0;986.0
937;339.3;987.9
938;338.7;981.3
939;338.7;978.6
940;338.0;976.7
941;335.8;974.1
942;335.8;974.3
943;337.8;972.3
944;339.5;975.3
945;335.3;972.8
946;331.5;972.5
947;330.4;974.5
948;328.3;972.3
949;328.5;970.4
950;329.7;971.7
951;331.7;974.7
952;332.1;975.3
953;336.7;972.2
954;336.1;971.2
955;336.0;969.2
956;338.4;967.9
957;338.1;965.2
958;343.6;965.8
959;344.2;963.5
960;344.7;965.6
961;344.5;969.6
962;345.6;968.0
963;345.5;965.5
964;348.9;966.9
965;350.3;968.4
966;352.0;968.5
967;351.6;969.8
968;353.0;969.3
969;357.2;967.2
970;359.3;962.7
971;358.9;956.9
972;358.0;949.1
973;356.6;953.1
974;353.2;953.1
975;356.2;953.7
976;355.5;952.2
977;357.8;955.4
978;360.8;956.6
979;365.3;955.4
980;365.9;953.6
981;362.3;954.8
982;358.2;952.4
983;358.7;952.1
984;359.6;954.4
985;360.3;949.8
986;361.2;946.6
987;359.4;945.9
988;358.6;946.2
989;358.9;947.0
990;359.5;949.1
991;359.1;949.7
992;356.3;950.0
993;357.5;949.5
994;355.2;955.1
995;358.6;955.9
996;360.4;957.5
997;360.0;955.0
998;358.9;955.6
999;362.2;955.5
1000;366.9;951.1
1001;368.7;948.8
1002;369.4;949.8
1003;367.1;953.3
1004;365.7;950.0
1005;371.0;945.6
1006;370.2;947.2
1007;371.9;945.7
1008;369.9;939.4
1009;370.0;939.0
1010;369.6;942.1
1011;359.6;938.1
1012;358.1;936.6
1013;362.0;934.1
1014;366.1;936.8
1015;367.9;930.4
1016;368.9;930.5
1017;370.6;931.9
1018;368.8;932.7
1019;366.3;936.6
1020;364.4;938.2
1021;362.1;936.7
1022;362.1;936.5
1023;365.2;936.5
1024;367.1;933.7
1025;367.4;933.9
1026;367.6;931.0
1027;363.1;928.3
1028;363.2;923.7
1029;364.9;924.2
1030;367.7;923.0
1031;368.1;923.2
1032;364.0;926.0
1033;359.9;925.7
1034;358.7;924.9
1035;361.4;922.8
1036;360.8;917.2
1037;362.4;914.1
1038;362.1;910.6
1039;366.4;906.6
1040;370.8;906.0
1041;366.9;900.9
1042;363.8;899.1
1043;363.5;903.8
1044;363.2;896.1
1045;362.4;893.9
1046;358.7;895.6
1047;354.3;898.1
1048;358.4;890.6
1049;360.9;887.7
1050;361.3;883.0
1051;361.7;879.5
1052;365.1;876.4
1053;363.3;878.9
1054;361.5;879.1
1055;363.3;875.5
1056;361.3;872.4
1057;362.5;872.9
1058;362.0;876.5
1059;362.0;874.5
1060;366.5;870.7
1061;367.4;869.3
1062;370.4;869.5
1063;373.0;868.8
1064;371.0;866.6
1065;371.7;866.5
1066;373.0;866.6
1067;371.2;863.4
1068;369.8;865.1
1069;369.0;866.3
1070;370.4;866.9
1071;373.4;864.0
1072;371.8;865.4
1073;369.0;866.7
1074;371.7;863.4
1075;367.5;862.4
1076;365.7;859.8
1077;362.0;855.4
1078;359.6;852.5
1079;362.4;854.4
1080;360.1;850.7
1081;365.5;847.4
1082;359.7;849.8
1083;361.7;849.3
1084;366.3;847.9
1085;368.1;849.8
1086;366.5;846.4
1087;365.3;842.4
1088;366.3;841.1
1089;366.9;841.5
1090;366.5;841.0
1091;364.8;840.3
1092;365.3;836.1
1093;367.1;834.5
1094;365.5;833.7
1095;368.1;831.5
1096;368.1;836.0
1097;366.0;837.1
1098;365.0;834.3
1099;366.7;832.0
1100;365.9;827.7
1101;368.4;831.0
1102;374.1;838.0
1103;373.7;838.9
1104;371.9;837.9
1105;373.6;839.1
1106;376.0;845.1
1107;375.7;846.8
1108;376.5;845.7
1109;378.7;842.0
1110;381.7;839.8
1111;379.5;838.3
1112;379.1;836.6
1113;378.5;836.5
1114;379.1;839.9
1115;379.5;837.7
1116;384.2;833.6
1117;382.5;832.2
1118;381.4;834.8
1119;380.7;834.5
1120;382.9;835.1
1121;381.9;834.3
1122;381.2;832.3
1123;383.8;830.8
1124;380.9;832.7
1125;379.2;833.4
1126;382.9;834.9
1127;388.4;840.3
1128;390.4;841.0
1129;388.5;838.3
1130;389.7;841.1
1131;395.4;841.2
1132;396.8;837.9
1133;392.9;837.3
1134;395.3;838.0
1135;394.4;838.8
1136;395.9;837.2
1137;393.6;838.1
1138;391.9;833.0
1139;390.5;826.3
1140;386.2;828.0
1141;382.8;821.9
1142;381.9;822.7
1143;380.1;822.7
1144;379.1;821.4
1145;377.6;818.7
1146;376.6;818.3
1147;377.1;816.4
1148;375.6;812.9
1149;374.3;812.0
1150;372.6;815.3
1151;369.5;812.0
1152;371.1;816.3
1153;374.6;811.8
1154;374.8;809.0
1155;376.1;809.0
1156;369.4;803.6
1157;368.4;805.2
1158;367.7;800.0
1159;370.7;798.8
1160;374.8;795.0
1161;370.9;794.2
1162;368.1;793.1
1163;366.2;791.3
1164;361.0;791.0
1165;357.3;792.2
1166;354.1;790.1
1167;355.4;785.5
1168;354.3;784.5
1169;350.3;781.6
1170;352.6;784.9
1171;351.7;785.8
1172;349.1;787.0
1173;351.9;791.4
1174;352.2;794.4
1175;350.9;793.4
1176;354.0;793.5
1177;354.9;791.1
1178;358.0;784.3
1179;359.3;783.3
1180;360.9;786.4
1181;362.4;788.4
1182;358.7;783.2
1183;359.7;782.3
1184;358.9;785.0
1185;357.8;781.8
1186;357.1;779.7
1187;365.0;775.7
1188;363.2;775.1
1189;364.8;778.6
1190;362.3;782.4
1191;363.9;782.4
1192;362.0;780.3
1193;361.6;776.3
1194;358.2;773.3
1195;355.9;774.7
1196;356.5;772.7
1197;356.9;771.1
1198;357.9;773.3
1199;358.4;775.4
1200;358.5;774.2
1201;357.6;774.7
1202;357.4;773.8
1203;356.5;776.2
1204;357.1;771.6
1205;360.3;769.8
1206;360.2;770.6
1207;354.7;770.6
1208;357.5;771.4
1209;358.4;771.0
1210;358.7;771.2
1211;360.5;770.0
1212;357.9;768.4
1213;357.7;763.4
1214;355.5;763.4
1215;355.4;765.5
1216;361.2;767.1
1217;358.4;770.8
1218;360.4;769.9
1219;360.3;766.9
1220;359.8;771.5
1221;361.2;776.3
1222;359.2;775.4
1223;355.5;774.2
1224;352.1;774.7
1225;348.2;775.8
1226;346.7;775.7
1227;346.2;776.2
1228;341.2;777.1
1229;343.3;779.5
1230;339.7;774.7
1231;337.8;775.0
1232;337.6;777.8
1233;339.7;777.3
1234;335.4;778.4
1235;333.5;779.1
1236;331.4;780.2
1237;327.5;780.4
1238;326.7;779.0
1239;326.3;777.3
1240;328.7;776.5
1241;325.7;777.5
1242;321.9;779.2
1243;318.9;777.5
1244;319.9;773.4
1245;322.8;774.7
1246;323.5;770.4
1247;323.3;771.8
1248;321.4;776.6
1249;322.1;776.0
1250;325.6;772.6
1251;321.0;773.7
1252;320.1;774.3
1253;321.4;775.2
1254;316.5;771.8
1255;327.1;771.2
1256;329.2;771.4
1257;323.3;768.6
1258;324.9;772.6
1259;324.0;773.8
1260;319.8;774.4
1261;318.2;773.0
1262;319.1;775.2
1263;318.0;773.7
1264;317.5;770.9
1265;312.9;773.0
1266;313.1;771.6
1267;309.9;771.6
1268;308.5;776.7
1269;311.2;776.6
1270;312.9;775.3
1271;312.0;775.1
1272;312.3;776.7
1273;312.3;773.7
1274;312.9;775.5
1275;319.9;776.9
1276;320.4;777.6
1277;323.9;778.7
1278;326.0;781.2
1279;332.2;779.9
1280;332.1;781.2
1281;331.5;779.2
1282;325.7;778.7
1283;323.7;775.6
1284;324.1;771.6
1285;321.7;764.6
1286;318.8;761.1
1287;319.0;759.0
1288;317.9;758.4
1289;313.6;758.9
1290;313.8;759.7
1291;309.9;757.6
1292;312.4;752.3
1293;314.7;751.0
1294;313.6;753.3
1295;312.3;755.5
1296;315.7;759.1
1297;315.1;757.7
1298;319.8;759.0
1299;319.0;756.0
1300;314.9;755.4
1301;312.1;752.9
1302;311.7;750.0
1303;313.4;746.0
1304;313.3;746.3
1305;313.6;748.9
1306;320.4;747.6
1307;322.7;744.5
1308;321.3;739.9
1309;318.4;741.2
1310;322.7;742.1
1311;321.0;738.6
1312;318.7;738.9
1313;318.9;737.3
1314;319.5;739.8
1315;318.2;737.1
1316;317.4;731.2
1317;318.9;731.1
1318;308.4;730.2
1319;311.0;731.5
1320;310.1;731.2
1321;308.4;730.2
1322;314.4;725.8
1323;314.8;727.4
1324;312.3;726.0
1325;308.1;725.3
1326;306.1;726.4
1327;307.6;728.2
1328;312.8;723.2
1329;308.1;720.6
1330;301.7;721.5
1331;301.5;723.9
1332;305.8;724.0
1333;299.5;722.1
1334;298.6;720.9
1335;297.6;722.6
1336;301.4;728.3
1337;304.1;728.0
1338;301.4;728.6
1339;301.1;720.8
1340;302.8;722.2
1341;302.4;723.8
1342;305.7;725.8
1343;308.6;722.8
1344;304.1;719.7
1345;304.1;717.0
1346;307.0;719.6
1347;306.9;724.3
1348;312.4;714.7
1349;309.9;713.0
1350;308.0;712.5
1351;306.5;709.2
1352;308.4;708.6
1353;307.7;706.7
1354;307.1;706.8
1355;306.4;710.0
1356;300.6;707.1
1357;298.9;706.9
1358;299.9;704.8
1359;299.9;703.2
1360;301.2;698.3
1361;301.4;694.1
1362;299.6;698.4
1363;297.6;701.6
1364;296.6;698.6
1365;296.4;696.3
1366;299.1;692.9
1367;296.0;688.7
1368;291.3;688.1
1369;290.5;691.5
1370;285.7;689.9
1371;282.7;689.6
1372;282.4;690.6
1373;279.7;686.3
1374;279.8;685.2
1375;280.8;681.2
1376;282.6;680.8
1377;273.3;678.7
1378;264.5;678.2
1379;264.1;680.8
1380;265.2;681.3
1381;265.2;673.5
1382;268.6;672.1
1383;269.6;668.1
1384;263.1;658.6
1385;270.6;656.9
1386;270.5;656.7
1387;270.8;651.9
1388;273.8;652.3
1389;274.0;649.4
1390;269.8;649.3
1391;270.9;648.2
1392;272.4;647.4
1393;276.7;644.3
1394;278.2;640.4
1395;279.6;638.9
1396;277.3;641.4
1397;278.5;641.8
1398;278.0;640.5
1399;277.8;636.1
1400;277.2;639.7
1401;272.3;640.9
1402;271.1;639.8
1403;273.4;638.8
1404;272.3;633.6
1405;269.0;631.3
1406;265.9;627.8
1407;267.3;625.1
1408;270.0;622.0
1409;273.2;620.9
1410;274.7;623.1
1411;275.5;623.0
1412;277.7;623.5
1413;272.5;629.2
1414;268.2;629.9
1415;265.5;629.0
1416;266.1;630.4
1417;269.6;625.9
1418;271.5;624.7
1419;274.3;621.9
1420;274.6;621.2
1421;274.8;619.6
1422;279.0;617.1
1423;276.1;617.0
1424;276.8;615.6
1425;280.7;613.7
1426;283.0;611.5
1427;282.7;611.2
1428;284.5;605.6
1429;283.9;609.9
1430;281.4;607.3
1431;277.6;607.0
1432;278.5;604.2
1433;280.1;597.6
1434;279.4;598.0
1435;282.3;596.7
1436;285.0;592.6
1437;288.6;590.4
1438;291.0;589.6
1439;292.4;590.0
1440;293.6;588.3
1441;294.5;589.0
1442;293.5;585.0
1443;293.9;584.1
1444;292.3;583.9
1445;292.8;584.0
1446;288.6;585.2
1447;286.9;584.1
1448;289.0;584.8
1449;287.2;586.8
1450;283.5;588.0
1451;283.4;584.3
1452;285.9;583.8
1453;286.3;575.9
1454;285.0;573.9
1455;283.3;573.8
1456;286.9;573.9
1457;284.0;579.1
1458;284.0;577.5
1459;285.3;578.5
1460;283.5;574.9
1461;283.8;576.1
1462;282.6;580.6
1463;281.1;585.9
1464;273.6;591.1
1465;271.1;589.8
1466;268.8;590.2
1467;265.5;593.1
1468;263.8;590.9
1469;268.8;589.3
1470;269.2;587.4
1471;266.1;585.1
1472;266.5;585.6
1473;267.0;585.6
1474;270.6;584.0
1475;271.1;581.9
1476;267.1;583.6
1477;271.1;583.0
1478;273.5;582.9
1479;272.7;585.5
1480;272.3;584.4
1481;272.8;580.6
1482;275.3;581.1
1483;275.5;578.3
1484;276.5;576.9
1485;279.7;577.2
1486;280.7;577.9
1487;280.4;577.3
1488;281.9;573.0
1489;282.4;570.7
1490;277.9;567.6
1491;278.9;566.5
1492;276.5;569.6
1493;274.3;572.8
1494;273.9;574.5
1495;273.9;572.6
1496;271.8;574.9
1497;267.6;580.7
1498;269.3;577.2
1499;270.4;574.7
1500;272.3;568.9
1501;272.7;562.5
1502;274.1;561.6
1503;278.0;568.0
1504;279.2;565.7
1505;276.3;565.8
1506;276.4;564.4
1507;276.7;565.8
1508;278.5;566.7
1509;277.9;568.1
1510;278.7;562.9
1511;274.7;559.4
1512;271.7;556.0
1513;273.6;558.5
1514;274.8;557.4
1515;274.4;558.5
1516;272.4;559.2
1517;269.6;560.1
1518;265.3;559.0
1519;263.9;559.9
1520;259.5;559.4
1521;261.2;559.3
1522;261.1;560.8
1523;258.8;557.9
1524;257.3;554.9
1525;260.2;555.7
1526;260.0;556.6
1527;259.3;552.4
1528;259.3;553.3
1529;260.5;554.3
1530;257.7;550.6
1531;255.3;554.6
1532;252.0;552.4
1533;254.3;553.2
1534;258.0;551.7
1535;254.8;542.3
1536;251.7;540.3
1537;253.9;537.1
1538;252.3;537.8
1539;251.5;535.4
1540;251.8;531.0
1541;254.6;528.2
1542;252.2;526.1
1543;256.4;524.2
1544;253.2;520.5
1545;251.2;514.6
