frame;x;y
1;970.0;844.0
2;970.9;844.9
3;970.3;841.4
4;969.8;843.6
5;973.4;840.6
6;972.4;841.7
7;971.5;847.6
8;966.6;847.8
9;969.0;852.1
10;965.0;858.4
11;961.3;852.6
12;961.1;852.4
13;958.4;852.9
14;953.1;850.6
15;948.6;847.6
16;946.0;842.7
17;946.7;842.0
18;941.4;842.4
19;941.1;846.1
20;940.7;846.3
21;940.0;850.2
22;938.5;852.3
23;938.6;849.3
24;943.1;844.9
25;944.8;842.8
26;947.2;845.0
27;947.3;844.9
28;951.3;848.3
29;953.5;843.6
30;951.3;842.9
31;950.6;839.1
32;950.2;835.4
33;957.7;829.2
34;960.0;827.9
35;960.3;828.0
36;960.5;831.9
37;963.9;839.0
38;959.9;839.9
39;955.2;839.9
40;957.1;839.6
41;955.7;839.2
42;953.6;838.0
43;951.7;836.5
44;947.2;837.7
45;945.9;841.4
46;945.5;841.0
47;939.3;845.5
48;944.8;843.8
49;944.1;840.6
50;940.8;836.7
51;939.8;830.7
52;941.5;824.4
53;947.0;826.8
54;947.5;825.8
55;944.9;822.1
56;944.4;819.6
57;945.1;816.6
58;944.8;819.3
59;954.5;823.3
60;959.3;827.6
61;957.6;826.9
62;961.6;830.6
63;964.4;826.4
64;962.3;825.0
65;960.2;822.5
66;960.8;829.4
67;959.4;830.1
68;957.6;831.0
69;962.5;832.8
70;967.6;836.4
71;973.9;833.1
72;977.1;829.3
73;984.1;831.5
74;989.3;825.4
75;996.8;819.8
76;994.5;817.6
77;993.8;818.2
78;989.3;818.5
79;986.2;821.2
80;986.5;819.8
81;985.3;820.9
82;981.0;825.3
83;982.4;831.9
84;978.5;832.4
85;971.8;833.0
86;974.4;835.7
87;978.5;832.5
88;979.6;831.5
89;977.7;827.0
90;974.6;828.3
91;971.0;827.5
92;974.6;826.8
93;973.8;827.2
94;971.0;824.9
95;970.3;828.0
96;972.4;824.1
97;973.3;828.4
98;975.9;828.2
99;977.7;828.8
100;973.6;826.9
101;968.3;829.7
102;967.9;827.4
103;967.9;822.4
104;968.7;821.9
105;965.2;818.9
106;965.5;818.6
107;969.3;813.5
108;969.9;806.3
109;965.1;806.6
110;965.3;810.6
111;965.4;807.3
112;962.8;811.6
113;962.8;814.9
114;965.6;818.4
115;969.0;825.9
116;973.4;829.1
117;973.7;830.0
118;973.5;830.2
119;976.4;833.3
120;976.4;833.8
121;975.8;834.2
122;979.9;833.2
123;985.1;836.2
124;983.7;835.1
125;980.6;834.8
126;975.8;835.9
127;973.8;833.9
128;974.1;834.6
129;972.2;831.9
130;975.9;828.1
131;974.8;832.1
132;981.6;837.8
133;981.7;837.1
134;987.3;839.6
135;986.9;833.7
136;989.4;831.4
137;986.8;835.0
138;984.0;838.5
139;981.3;838.9
140;979.1;834.3
141;973.3;832.2
142;970.9;827.6
143;973.8;826.9
144;974.4;823.8
145;978.2;821.5
146;980.1;817.0
147;982.2;815.5
148;978.6;815.7
149;978.9;812.1
150;981.3;810.3
151;982.3;806.8
152;983.0;802.7
153;981.8;801.1
154;979.4;804.2
155;977.6;807.1
156;980.4;799.5
157;982.4;803.7
158;984.6;802.5
159;984.7;802.2
160;982.7;803.1
161;979.0;804.0
162;978.0;800.9
163;978.5;800.0
164;977.4;800.1
165;978.0;801.2
166;979.3;801.2
167;978.8;799.8
168;978.3;798.8
169;973.7;798.2
170;973.4;801.6
171;971.7;797.4
172;973.2;794.9
173;973.5;798.7
174;970.4;795.5
175;970.2;794.5
176;968.0;798.9
177;967.5;798.7
178;966.4;796.3
179;964.7;798.8
180;962.1;801.9
181;958.8;804.9
182;959.4;807.9
183;961.3;806.8
184;962.6;807.1
185;958.8;806.2
186;959.4;801.0
187;959.9;800.2
188;954.7;798.5
189;955.7;799.3
190;956.4;799.9
191;956.4;802.0
192;954.6;796.9
193;952.6;792.7
194;952.8;799.3
195;950.2;800.1
196;950.7;798.0
197;945.7;800.6
198;939.8;803.8
199;940.7;806.6
200;943.4;806.0
201;943.9;807.7
202;941.9;809.5
203;942.1;805.8
204;950.2;804.5
205;949.0;804.2
206;946.2;802.1
207;948.4;809.7
208;950.3;813.3
209;951.5;816.5
210;949.1;816.3
211;949.6;818.3
212;947.5;820.2
213;944.5;820.5
214;943.9;813.5
215;949.2;809.6
216;951.8;809.0
217;951.8;807.9
218;948.9;802.3
219;952.9;801.5
220;952.7;802.5
221;951.0;803.8
222;949.4;803.4
223;943.0;807.3
224;941.8;810.4
225;945.0;806.7
226;944.2;805.5
227;945.3;806.4
228;945.8;807.6
229;942.9;803.0
230;941.3;802.3
231;942.7;807.2
232;942.4;810.6
233;947.8;806.2
234;955.7;803.7
235;958.1;804.2
236;958.5;802.1
237;958.4;805.0
238;957.3;808.7
239;955.8;811.8
240;956.3;815.8
241;953.3;818.0
242;952.2;817.2
243;947.8;821.1
244;947.1;822.6
245;946.5;823.5
246;949.7;825.4
247;949.2;820.3
248;951.9;817.8
249;953.8;819.1
250;952.7;817.7
251;955.7;816.4
252;957.5;814.4
253;960.6;813.4
254;957.9;806.4
255;956.7;803.5
256;957.8;805.2
257;961.6;812.3
258;962.5;809.5
259;963.0;814.0
260;964.6;817.6
261;965.8;821.3
262;964.7;822.9
263;963.8;825.0
264;961.7;825.9
265;963.9;825.3
266;963.5;821.8
267;962.9;821.5
268;964.6;823.1
269;965.2;823.8
270;967.8;823.0
271;972.0;824.4
272;970.4;828.2
273;972.0;832.3
274;972.0;837.7
275;975.3;833.5
276;977.6;839.6
277;973.2;837.8
278;976.8;838.2
279;978.7;840.8
280;980.8;839.6
281;981.8;834.7
282;983.0;838.4
283;980.4;837.5
284;979.0;833.2
285;979.2;829.7
286;983.3;825.6
287;985.8;827.0
288;982.6;825.3
289;980.9;831.5
290;984.4;826.2
291;982.2;822.2
292;981.1;823.8
293;978.9;824.4
294;975.8;822.2
295;977.3;817.2
296;974.3;813.2
297;971.4;810.6
298;970.4;810.3
299;971.5;812.7
300;968.7;811.7
301;973.8;808.3
302;974.2;809.1
303;971.5;814.6
304;969.0;820.2
305;968.3;818.2
306;966.6;816.1
307;966.7;814.3
308;969.5;813.4
309;970.4;810.6
310;972.8;808.4
311;972.6;805.7
312;968.3;808.4
313;967.8;808.7
314;965.9;809.7
315;964.4;808.3
316;963.2;815.4
317;962.3;810.2
318;963.9;810.8
319;962.0;810.3
320;960.6;815.5
321;962.9;813.6
322;964.5;816.4
323;964.9;813.0
324;964.5;806.8
325;962.9;804.9
326;959.3;802.6
327;964.1;803.4
328;964.0;804.6
329;964.4;806.4
330;966.6;801.2
331;967.3;800.3
332;969.8;799.9
333;965.3;802.1
334;966.9;808.1
335;965.0;809.9
336;959.3;808.2
337;959.2;807.4
338;960.8;809.2
339;958.9;811.6
340;961.0;807.7
341;963.3;810.0
342;965.3;811.7
343;963.8;815.8
344;963.5;819.4
345;963.1;820.0
