frame;x;y
1;632.0;312.0
2;631.0;310.5
3;630.7;311.9
4;631.5;314.8
5;633.0;315.7
6;631.4;318.2
7;631.6;320.3
8;631.8;320.7
9;632.2;319.8
10;634.5;320.0
11;635.0;321.2
12;635.3;321.4
13;636.9;321.3
14;634.9;323.8
15;634.0;323.2
16;631.0;323.5
17;632.0;323.7
18;634.2;322.5
19;634.3;321.7
20;633.8;321.3
21;636.1;319.6
22;637.3;318.6
23;637.7;319.3
24;636.8;320.2
25;634.7;318.7
26;634.7;320.0
27;633.0;318.7
28;630.2;318.6
29;630.4;318.1
30;631.4;317.9
31;631.5;317.5
32;631.3;316.2
33;633.0;316.9
34;635.9;316.2
35;638.2;315.1
36;636.0;314.5
37;635.1;313.5
38;631.8;312.6
39;630.6;313.7
40;629.3;314.1
41;628.0;315.0
42;627.7;315.8
43;626.4;317.7
44;628.4;320.9
45;626.9;321.0
46;626.6;321.0
47;627.0;321.2
48;627.2;320.9
49;629.4;321.3
50;632.6;321.6
51;632.3;321.5
52;630.8;321.6
53;631.0;321.8
54;630.6;320.4
55;632.1;319.1
56;633.1;319.7
57;633.1;319.4
58;635.8;321.1
59;635.9;322.2
60;635.1;321.0
61;634.7;320.1
62;633.9;319.7
63;631.1;319.4
64;629.9;316.5
65;627.8;319.6
66;627.7;320.0
67;628.7;319.3
68;631.2;317.7
69;631.4;317.4
70;632.9;315.8
71;633.0;314.4
72;630.7;312.0
73;629.7;309.7
74;629.8;310.2
75;630.2;310.5
76;628.3;309.4
77;627.4;308.1
78;625.2;306.2
79;624.8;308.3
80;626.2;306.0
81;627.0;303.2
82;627.4;301.8
83;627.6;303.8
84;628.3;306.5
85;628.2;305.9
86;627.0;304.4
87;626.4;304.9
88;626.2;302.4
89;629.6;303.1
90;630.8;302.2
91;634.1;304.0
92;636.6;302.3
93;635.4;302.1
94;634.6;302.4
95;632.8;303.2
96;631.6;302.5
97;628.9;301.8
98;628.2;298.8
99;628.4;297.4
100;629.3;298.0
101;629.0;298.5
102;630.7;299.2
103;629.9;299.9
104;632.8;299.1
105;633.9;298.4
106;634.2;298.7
107;634.2;299.0
108;635.0;299.4
109;634.7;299.9
110;633.9;299.0
111;633.8;299.6
112;633.0;302.4
113;631.6;303.1
114;632.9;303.1
115;633.6;303.2
116;634.9;302.8
117;634.8;303.6
118;634.0;305.1
119;633.1;304.1
120;632.0;302.6
121;633.0;301.4
122;634.7;301.5
123;635.8;301.2
124;635.3;303.3
125;634.9;305.7
126;635.1;304.3
127;634.9;304.9
128;634.9;304.4
129;635.9;302.5
130;636.2;300.7
131;637.4;298.5
132;636.8;297.3
133;635.6;297.0
134;634.0;298.7
135;634.8;299.0
136;636.0;298.2
137;636.1;296.9
138;634.4;296.7
139;633.3;296.8
140;633.0;296.8
141;633.2;295.7
142;633.5;296.2
143;635.1;296.1
144;636.2;294.1
145;636.2;294.6
146;637.0;296.8
147;638.0;298.4
148;639.0;298.4
149;638.4;296.6
150;640.8;297.0
151;639.7;296.9
152;640.0;297.6
153;640.7;297.7
154;640.3;299.8
155;636.8;298.6
156;636.0;298.9
157;635.5;299.8
158;636.3;299.8
159;636.3;297.2
160;637.0;296.3
161;638.8;297.0
162;638.6;297.9
163;639.7;296.9
164;639.7;294.6
165;636.1;292.6
166;634.6;292.3
167;635.0;291.9
168;636.5;292.0
169;638.8;289.4
170;640.4;288.2
171;642.9;287.5
172;640.4;286.8
173;638.5;285.8
174;638.3;287.2
175;637.9;289.9
176;636.6;286.5
177;636.3;285.4
178;632.2;286.2
179;629.6;284.5
180;629.3;283.7
181;626.9;284.0
182;625.6;283.8
183;625.6;282.2
184;628.4;281.4
185;628.3;281.5
186;627.6;281.8
187;625.9;282.1
188;625.2;279.6
189;621.7;281.6
190;622.4;284.0
191;621.8;281.6
192;622.2;278.1
193;621.9;277.6
194;619.8;280.8
195;618.9;281.2
196;619.7;283.8
197;619.4;283.6
198;620.0;283.4
199;623.7;284.1
200;624.2;283.6
201;625.2;281.8
202;624.0;280.3
203;626.0;280.3
204;626.6;281.8
205;627.5;283.8
206;628.2;283.0
207;627.5;281.5
208;629.4;278.2
209;630.0;277.0
210;629.5;277.0
211;629.4;275.1
212;628.1;271.3
213;628.5;270.9
214;628.9;268.6
215;626.4;269.9
216;627.8;268.5
217;625.8;268.2
218;625.7;269.0
219;626.9;269.1
220;628.2;269.0
221;629.4;268.6
222;630.8;267.2
223;631.9;267.6
224;632.1;268.5
225;631.7;270.8
226;630.8;268.1
227;629.3;268.3
228;628.7;268.3
229;630.5;266.9
230;631.7;265.2
231;632.2;266.0
232;634.1;265.7
233;632.4;267.5
234;631.9;267.2
235;632.2;267.7
236;632.4;267.4
237;635.1;267.0
238;636.3;268.2
239;638.3;270.1
240;637.5;268.0
241;637.6;267.4
242;638.5;267.3
243;638.9;267.0
244;638.6;265.6
245;641.8;263.3
246;643.3;265.3
247;642.0;265.8
248;644.3;265.4
249;644.6;267.1
250;646.0;266.5
251;645.3;267.3
252;645.7;267.5
253;644.3;264.8
254;644.5;262.0
255;645.9;258.8
256;645.9;258.4
257;646.0;260.4
258;643.2;260.0
259;642.9;260.1
260;642.2;262.0
261;642.2;263.4
262;643.2;264.5
263;643.9;265.9
264;643.2;267.2
265;643.4;267.8
266;644.2;264.6
267;646.0;264.0
268;643.2;265.3
269;643.8;265.3
270;643.5;263.9
271;644.2;265.8
272;642.5;269.6
273;641.2;268.5
274;642.4;269.8
275;641.0;271.4
276;639.6;273.7
277;640.7;275.6
278;642.9;276.1
279;643.3;277.3
280;641.4;278.0
281;640.2;276.0
282;643.5;275.6
283;643.0;276.4
284;643.2;276.6
285;641.0;277.5
286;639.6;277.6
287;642.8;278.4
288;643.3;277.9
289;642.5;279.4
290;643.0;281.7
291;642.9;282.1
292;642.6;283.2
293;644.8;282.4
294;643.0;282.0
295;641.4;284.2
296;639.8;283.6
297;639.5;283.3
298;641.3;281.1
299;645.1;280.8
300;647.2;281.1
301;648.1;282.9
302;648.5;284.8
303;647.6;284.7
304;644.8;283.6
305;643.3;282.6
306;641.9;281.9
307;639.8;282.5
308;638.2;282.8
309;641.4;282.9
310;642.0;283.7
311;643.2;282.6
312;642.3;282.1
313;642.9;283.4
314;642.0;284.3
315;640.9;286.0
316;638.4;285.0
317;637.8;285.0
318;639.9;285.3
319;642.5;283.1
320;642.5;280.8
321;643.0;278.6
322;643.6;276.5
323;644.4;274.6
324;644.4;273.1
325;644.1;274.5
326;644.0;276.6
327;643.9;277.8
328;643.5;274.9
329;640.9;274.0
330;638.9;273.6
331;636.3;275.1
332;636.4;278.1
333;630.4;278.1
334;628.9;276.9
335;626.9;278.0
336;627.5;279.6
337;626.7;278.9
338;625.7;279.2
339;625.0;278.8
340;621.8;279.2
341;619.3;278.3
342;618.4;276.7
343;618.0;275.2
344;619.2;274.5
345;621.1;274.2
346;619.8;275.4
347;621.2;275.4
348;621.2;274.5
349;619.3;273.7
350;619.1;273.6
351;619.6;271.4
352;619.6;271.9
353;620.2;272.1
354;620.7;271.4
355;623.3;270.4
356;623.9;270.4
357;624.7;271.9
358;624.5;272.9
359;626.3;272.0
360;629.6;270.1
361;630.3;269.3
362;630.7;268.4
363;631.2;265.3
364;627.8;264.5
365;625.4;265.5
366;626.7;265.9
367;627.4;265.8
368;629.7;263.9
369;628.7;264.1
370;625.3;266.5
371;622.2;268.3
372;623.2;265.3
373;623.2;264.9
374;622.7;265.5
375;622.6;264.8
376;619.3;263.7
377;616.5;262.9
378;618.1;263.6
379;618.0;264.6
380;617.3;264.7
381;618.1;266.4
382;620.1;268.5
383;620.5;267.4
384;620.3;267.3
385;620.0;266.8
386;621.1;267.7
387;622.7;267.6
388;623.2;266.6
389;621.3;263.2
390;621.4;259.9
391;621.2;259.0
392;621.3;259.3
393;622.4;259.2
394;624.4;259.2
395;623.9;260.2
396;624.2;260.8
397;623.2;263.1
398;621.9;264.0
399;622.5;263.0
400;622.8;263.9
401;623.4;265.0
402;623.4;264.9
403;622.4;263.1
404;622.0;261.2
405;619.5;260.2
406;617.8;261.7
407;618.2;262.4
408;617.4;263.5
409;613.4;262.6
410;611.7;261.6
411;612.8;259.6
412;613.2;257.8
413;613.5;258.0
414;613.4;256.2
415;610.4;256.9
416;610.3;256.3
417;608.4;256.6
418;604.1;258.3
419;604.2;256.6
420;606.2;254.6
421;606.3;255.9
422;605.8;255.2
423;606.4;254.8
424;606.1;251.0
425;608.3;245.8
426;608.8;243.1
427;609.1;243.6
428;607.7;243.5
429;606.4;241.4
430;605.4;239.5
431;603.8;237.9
432;604.9;240.7
433;604.8;241.3
434;605.3;237.5
435;605.3;236.6
436;605.0;236.2
437;605.7;235.9
438;605.3;236.8
439;606.4;237.1
440;606.7;239.0
441;607.2;238.6
442;608.6;238.8
443;608.3;239.4
444;608.1;238.2
445;609.4;237.7
446;611.5;236.4
447;613.1;237.3
448;613.1;237.7
449;612.8;238.3
450;612.0;240.0
451;609.0;239.6
452;607.8;238.4
453;605.8;238.4
454;605.4;239.2
455;605.8;238.3
456;606.3;237.3
457;606.6;237.2
458;607.7;235.6
459;606.4;233.6
460;605.8;234.4
461;607.3;233.4
462;608.1;234.2
463;610.6;233.4
464;611.0;231.2
465;611.2;229.6
466;612.0;231.1
467;610.8;229.9
468;612.4;232.5
469;612.8;232.1
470;614.7;235.0
471;613.7;236.2
472;614.9;235.3
473;614.4;235.1
474;614.6;236.7
475;614.5;237.0
476;615.1;238.8
477;616.7;239.5
478;616.1;237.9
479;616.2;237.3
480;616.7;236.8
481;614.9;236.8
482;615.0;235.8
483;614.7;235.0
484;619.2;230.7
485;618.9;230.3
486;619.5;231.1
487;621.1;231.6
488;622.0;229.1
489;619.3;226.9
490;618.2;227.2
491;621.8;227.5
492;621.8;226.6
493;621.3;224.5
494;620.5;223.1
495;620.7;223.4
496;620.5;220.8
497;621.6;222.2
498;621.4;220.9
499;621.2;222.5
500;621.6;221.2
501;622.7;218.8
502;621.1;219.7
503;620.2;221.9
504;620.4;223.3
505;621.1;222.8
506;620.9;221.8
507;622.9;222.9
508;624.3;225.2
509;624.8;226.9
510;627.1;227.2
511;627.2;225.9
512;626.4;226.6
513;627.3;227.3
514;628.1;229.4
515;627.4;229.6
516;626.2;232.4
517;625.7;233.4
518;628.0;231.8
519;627.2;230.2
520;625.1;231.0
521;624.7;230.1
522;625.9;229.1
523;625.2;228.9
524;625.8;228.4
525;627.2;229.7
526;627.9;231.3
527;628.8;231.8
528;629.2;231.4
529;628.8;231.5
530;629.5;231.0
531;629.4;232.4
532;629.4;231.3
533;629.8;231.7
534;628.4;231.7
535;627.1;232.3
536;628.3;232.3
537;628.4;233.9
538;628.5;234.0
539;625.7;232.6
540;627.0;235.3
541;625.6;235.5
542;626.7;236.2
543;624.8;234.3
544;625.2;232.4
545;621.8;232.9
546;623.5;231.7
547;621.6;230.8
548;620.9;231.5
549;619.7;231.6
550;617.8;234.5
551;614.4;234.6
552;612.7;234.6
553;613.2;235.4
554;613.1;234.2
555;615.2;232.9
556;616.4;232.4
557;617.0;232.9
558;618.8;234.5
559;619.8;233.9
560;619.0;234.1
561;618.5;233.9
562;617.5;232.9
563;616.3;231.9
564;617.2;228.9
565;615.5;228.9
566;615.6;229.9
567;616.9;231.0
568;619.1;229.3
569;618.6;228.9
570;619.3;233.0
571;619.5;236.0
572;617.5;235.8
573;617.3;235.5
574;619.6;234.7
575;621.2;234.5
576;620.9;233.5
577;621.6;232.3
578;623.3;232.2
579;624.1;231.6
580;623.9;232.4
581;624.1;233.8
582;623.6;234.2
583;625.3;236.2
584;626.9;237.1
585;627.0;238.1
